Times,Track,Country,Lat,Lon
274,TT Circuit Assen,NETHERLANDS,52.958476,6.522292
168,Automotodrom Brno,CZECH REPUBLIC,49.204085,16.445566
129,Spa-Francorchamps,BELGIUM,50.437089,5.972029
121,Sachsenring,GERMANY,50.924584,6.951264
114,Isle of Man,GREAT BRITAIN,54.187486,-4.550735
111,Autodromo Internazionale del Mugello,ITALY,43.996794,11.371302
111,Monza,ITALY,45.622279,9.284693
105,Le Mans,FRANCE,47.956206,0.207935
104,Circuito de Jerez - Angel Nieto,SPAIN,36.709496,-6.033846
95,Hockenheim,GERMANY,49.33037,8.57089
87,Circuit de Barcelona-Catalunya,SPAIN,41.568639,2.257138
87,Belfast,IRELAND,54.650167,-6.157
81,Misano World Circuit Marco Simoncelli,ITALY,43.961584,12.686012
78,Phillip Island,AUSTRALIA,-38.496742,145.231628
76,Jarama,SPAIN,40.616673,-3.584998
72,Nurburgring,GERMANY,50.331655,6.939926
72,Imatra,FINLAND,61.26724,28.880621
71,Salzburgring,AUSTRIA,47.825274,13.171087
70,Donington Park,GREAT BRITAIN,52.829878,-1.375115
70,Silverstone Circuit,GREAT BRITAIN,52.071593,-1.017094
66,Twin Ring Motegi,JAPAN,36.533278,140.227196
66,Circuit Ricardo Tormo,SPAIN,39.485843,-0.625956
66,Sepang International Circuit,MALAYSIA,2.760727,101.738248
63,Anderstorp,SWEDEN,57.261678,13.601315
56,Suzuka,JAPAN,34.845831,136.538931
55,MontjuÃ¯c,SPAIN,41.364945,2.158297
53,Imola,ITALY,44.344879,11.719482
51,Losail International Circuit,QATAR,25.490157,51.452665
46,Rijeka,YUGOSLAVIA,45.383449,14.509792
43,Paul Ricard,FRANCE,43.252218,5.792719
39,Estoril Circuit,PORTUGAL,38.750778,-9.394174
36,Opatija,YUGOSLAVIA,45.383315,14.510343
33,MotorLand AragÃ³n,SPAIN,41.079309,-0.205007
31,Oscar A. Galvez,ARGENTINA,-34.693144,-58.459121
28,Clermont-Ferrand,FRANCE,45.743328,3.032224
27,Nelson Piquet,BRAZIL,-3.895911,-38.459718
24,Indianapolis Motor Speedway,UNITED STATES,39.795527,-86.235344
24,Circuit Of The Americas,UNITED STATES,30.134813,-97.63583
23,Mazda Raceway,UNITED STATES,36.584422,-121.753458
22,Solitude,GERMANY,48.767722,9.041367
21,Termas de RÃ­o Hondo,ARGENTINA,-27.499212,-64.861056
21,Red Bull Ring - Spielberg,AUSTRIA,47.219808,14.765483
21,Shah Alam,MALAYSIA,3.085005,101.541407
18,Phakisa Freeway,SOUTH AFRICA,-27.904393,26.711241
18,Eastern Creek,AUSTRALIA,-33.806103,150.870714
17,Berne,SWITZERLAND,46.972417,7.387848
12,Shanghai Circuit,CHINA,31.330007,121.226139
12,San Carlos,VENEZUELA,9.665125,-68.554752
9,Chang International Circuit,THAILAND,14.962489,103.085275
9,Istanbul Park Circuit,TURKEY,40.95695,29.409347
9,Kyalami,SOUTH AFRICA,-25.991609,28.077271
8,Nogaro,FRANCE,43.766251,-0.038093
8,Daytona,UNITED STATES,29.185413,-81.070528
7,Karlskoga,SWEDEN,59.33305,14.471154
6,Sentul,INDONESIA,3.213155,101.680827
6,Hungaroring,HUNGARY,47.581914,19.250621
5,Reims,FRANCE,49.244354,4.010942
3,KymiRing,FINLAND,60.879542,26.480889
3,Interlagos,BRAZIL,-23.701022,-46.697956
3,Magny Cours,FRANCE,46.855603,3.170066
3,Mosport,CANADA,44.055469,-78.676149
2,Zolder,BELGIUM,50.990653,5.257963
